sample,x,y
A,2.8717,-4.78257
A,0.75363,-4.39637
A,1.42747,-0.52518
A,-2.7917,0.59643
A,7.30142,1.59122
A,2.26372,-2.59537
A,3.39167,-2.74921
A,2.28469,-4.13218
A,4.42353,-3.4151
A,1.62928,-3.26663
A,7.39517,0.41237
A,1.31298,-6.2111
A,1.65882,-3.91204
A,0.37752,0.37905
A,4.30164,-1.51471
A,5.40631,-2.21269
A,-1.98425,3.27528
A,3.89641,-3.5758
A,-0.06955,-5.26676
A,-5.21254,3.35921
A,-1.09579,-1.33524
A,-1.64499,4.85667
A,7.60668,-0.90871
A,-5.21059,0.3922
A,3.18846,-3.82438
A,-5.15182,0.18956
A,1.82833,-4.28165
A,0.46315,-2.91324
A,5.49825,-0.90764
A,-0.38454,-6.25241
A,1.58571,-3.06577
A,-2.80751,4.64336
A,-0.36301,2.98402
A,4.03897,-2.95923
A,3.54221,-3.57425
A,3.07352,-0.71857
A,-1.81157,3.69527
A,2.96025,-3.76637
A,-0.98106,-2.16949
A,2.36518,-2.65471
A,2.37823,-3.82964
A,-0.65133,-4.40902
